id,name,color,icon,user_id,created_at
a0474ded-9032-4ab2-a030-0078a7769bee,Apartamento,#ef4444,home,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
fecf767c-1f75-48d3-bd07-57151156e410,Escritório,#3b82f6,briefcase,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
58fd25af-943d-46bb-9e08-f4a21d511861,Viagens e Lazer,#8b5cf6,plane,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
d6400a44-2141-4281-939a-4ac569776d8f,Vida Esportiva,#10b981,dumbbell,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
ff0a1b5d-7ada-4a3b-9485-5076f779f6d1,Compras Pessoais,#f59e0b,shopping-bag,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
697d8189-00d4-49cb-b801-2e7e4ff69c95,Go On Outdoor,#14b8a6,mountain,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
8c76f32b-0dcc-4fdb-9505-28825d525bf4,Carro,#6366f1,car,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
1155b9a3-afd5-4e6b-b96d-9b87c9afd444,Comida,#ec4899,utensils,26bac8f5-5b37-4151-a95c-247251b8556d,2025-10-12 18:49:21.805541+00
786da91f-5e21-488b-8e08-95f9d3e656a0,Apartamento,#ef4444,home,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
b1acfd71-5320-4cc8-9aae-45664bcdb96e,Escritório,#3b82f6,briefcase,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
948cb2fd-2c60-4eb4-b9f3-1ba4603cdd7b,Viagens e Lazer,#8b5cf6,plane,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
aa3b9d18-94aa-436f-b437-73af0d14aff9,Vida Esportiva,#10b981,dumbbell,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
d4a8bdf9-d796-44dc-9498-553076c57748,Compras Pessoais,#f59e0b,shopping-bag,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
5fa8fd39-5c6b-4e0a-804f-1f6199c5fd1e,Go On Outdoor,#14b8a6,mountain,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
42f47fc8-1503-4707-9b73-642aefe4cc6b,Carro,#6366f1,car,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
7869eb2b-eb82-438e-b28b-1db1540bd948,Comida,#ec4899,utensils,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-12 18:49:21.805541+00
f988ac81-dd3d-49db-bb82-135068b90a38,Filhos,#f97316,baby,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-10-25 00:37:12.238269+00
