id,user_id,description,card,value,type,parcelas,observacao,ativo,created_at,updated_at
5efc31e7-4e69-4d0c-80a1-f5ea6ea58455,a3b12ed2-9440-40d9-9293-3c20e778dd74,ChatGPT Plus,C6 Pessoal,99.9,recorrente,,,t,2025-06-01 14:08:47.533957+00,2025-06-01 14:08:47.533957+00
656d6ee5-a106-46f9-a4b7-7c7610b745ba,a3b12ed2-9440-40d9-9293-3c20e778dd74,Pacote Adobe,C6 Pessoal,165,recorrente,,,t,2025-06-01 14:09:05.534295+00,2025-06-01 14:09:05.534295+00
1d5b2b36-e9c2-4f85-9bd1-266aa8839cc2,a3b12ed2-9440-40d9-9293-3c20e778dd74,Spotify Familia,C6 Pessoal,27.9,recorrente,,,t,2025-06-01 14:09:20.284741+00,2025-06-01 14:09:20.284741+00
39f97baa-eed4-4a48-bf49-2a6893c625e0,a3b12ed2-9440-40d9-9293-3c20e778dd74,Cloud Apple,C6 Pessoal,4.9,recorrente,,,t,2025-06-01 14:09:40.171773+00,2025-06-01 14:09:40.171773+00
06e9f54c-b068-4362-91be-e792a8c04d29,a3b12ed2-9440-40d9-9293-3c20e778dd74,TIM - Marcela,C6 Pessoal,66.99,recorrente,,,t,2025-06-01 14:10:02.123252+00,2025-06-01 14:10:02.123252+00
9d06845d-d558-4f16-a0fa-88e25eb665c1,a3b12ed2-9440-40d9-9293-3c20e778dd74,TIM - Wesley Pessoal,C6 Pessoal,60.99,recorrente,,,t,2025-06-01 14:10:15.87208+00,2025-06-01 14:10:15.87208+00
04e356e8-4323-43d4-bab0-df1b4376a067,a3b12ed2-9440-40d9-9293-3c20e778dd74,CapCut Marcela,C6 Pessoal,32.9,recorrente,,,t,2025-06-01 14:11:31.670469+00,2025-06-01 14:11:31.670469+00
96de6c64-e122-4439-890b-49d5367779be,a3b12ed2-9440-40d9-9293-3c20e778dd74,Inscrição La Mision - Marcela,C6 Pessoal,45.05,parcelado,3,,t,2025-06-01 14:12:16.912092+00,2025-06-01 14:12:16.912092+00
dace803c-57f0-4952-812c-40831078d91f,a3b12ed2-9440-40d9-9293-3c20e778dd74,Inscrição La Mision - Wesley,C6 Pessoal,75.65,parcelado,3,,t,2025-06-01 14:11:52.854139+00,2025-06-01 14:11:52.854139+00
7b141030-3468-48dc-8ac0-273031826607,a3b12ed2-9440-40d9-9293-3c20e778dd74,Claro TV,C6 Pessoal,89.9,recorrente,,,t,2025-06-01 14:36:13.919353+00,2025-06-01 14:36:13.919353+00
42e30102-f6cd-4d75-b132-634383627bd1,a3b12ed2-9440-40d9-9293-3c20e778dd74,Tratamento PhysioNow,C6 Pessoal,850,parcelado,2,,t,2025-06-29 23:01:52.919135+00,2025-06-29 23:01:52.919135+00
b441d8df-379b-42c1-851b-50b054a703f7,a3b12ed2-9440-40d9-9293-3c20e778dd74,Youtube premium,Conta Simples Empresa,26.9,recorrente,,,t,2025-06-29 23:06:45.068051+00,2025-06-29 23:06:45.068051+00
29b1401c-c023-467d-88e3-a2a4369fdb77,a3b12ed2-9440-40d9-9293-3c20e778dd74,Spotify,C6 Pessoal,27.9,recorrente,,,t,2025-08-03 22:56:35.747044+00,2025-08-03 22:56:35.747044+00
5f854196-8a2f-4720-bc34-f2703092484b,a3b12ed2-9440-40d9-9293-3c20e778dd74,Airbnb Passa 4 - domingo,C6 Pessoal,250,parcelado,1,,t,2025-08-03 22:57:54.279336+00,2025-08-03 22:57:54.279336+00
80a1f7d1-1a9c-4262-b061-4a684aba215b,a3b12ed2-9440-40d9-9293-3c20e778dd74,Passagens La Mision,C6 Pessoal,295.49,parcelado,2,,t,2025-08-03 22:58:50.005119+00,2025-08-03 22:58:50.005119+00
fd03b1e8-27e9-493b-addb-6bdc872002a4,a3b12ed2-9440-40d9-9293-3c20e778dd74,Lovable,Conta Simples Empresa,89.55,recorrente,,,t,2025-06-29 23:07:10.875548+00,2025-06-29 23:07:10.875548+00
6ddb7e5e-f292-4b87-8f4f-5744f71baa70,a3b12ed2-9440-40d9-9293-3c20e778dd74,API Open AI,Conta Simples Empresa,59.67,recorrente,,,t,2025-08-03 23:01:16.417994+00,2025-08-03 23:01:16.417994+00
25f720af-ab2d-40c7-aaf6-4db0c417e467,a3b12ed2-9440-40d9-9293-3c20e778dd74,Framer Go On Outdoor,Conta Simples Empresa,80.57,recorrente,,,t,2025-06-01 21:49:15.865746+00,2025-06-01 21:49:15.865746+00
59bd52ea-22e4-40ed-942e-9c60eaf85d9a,a3b12ed2-9440-40d9-9293-3c20e778dd74,Google One,Conta Simples Empresa,96.99,recorrente,,,t,2025-06-29 23:08:08.415207+00,2025-06-29 23:08:08.415207+00
81d64620-6c0a-4b53-953d-672598df9c1d,a3b12ed2-9440-40d9-9293-3c20e778dd74,Meta ads Go On,Conta Simples Empresa,14.64,parcelado,1,,t,2025-06-29 23:05:05.602747+00,2025-06-29 23:05:05.602747+00
