id,user_id,name,value,category,due_date,bank,recurring,paid_this_month,created_at,updated_at
b80e4d88-4d6b-47ab-858d-ea22c08ce641,a3b12ed2-9440-40d9-9293-3c20e778dd74,UltraGáz,190.93,Apartamento,15,,t,f,2025-06-01 14:01:41.307671+00,2025-06-01 14:01:41.307671+00
34040e9e-c624-472d-aafb-5ff2b79fb713,a3b12ed2-9440-40d9-9293-3c20e778dd74,Das Mei Marcela,80.90,Escritório,20,,t,f,2025-06-01 14:02:02.22124+00,2025-06-01 14:02:02.22124+00
bc5553ec-2b9d-4120-a0f5-0b0b0a7830ef,a3b12ed2-9440-40d9-9293-3c20e778dd74,Energia Elétrica,60.87,Apartamento,16,,t,f,2025-06-01 14:03:07.555568+00,2025-06-01 14:03:07.555568+00
dd82dc32-0e26-46de-a013-228be13b7a6a,a3b12ed2-9440-40d9-9293-3c20e778dd74,Terapia,480.00,Contas mensais,20,,t,f,2025-06-01 14:06:13.634705+00,2025-06-01 14:06:13.634705+00
64a421cf-bb8c-4331-9acd-d4805f78d1ce,a3b12ed2-9440-40d9-9293-3c20e778dd74,Aluguel Apartamento,2950.00,Apartamento,30,,t,f,2025-06-01 14:06:45.111398+00,2025-06-01 14:06:45.111398+00
dcaa4a42-e10f-491c-9b55-dba1b4937c04,a3b12ed2-9440-40d9-9293-3c20e778dd74,Corte de cabelo,75.00,Contas mensais,10,,t,f,2025-06-01 14:03:27.847618+00,2025-06-01 14:03:27.847618+00
e3bf0ea4-f4bd-4354-b24a-135e1c0bf70a,a3b12ed2-9440-40d9-9293-3c20e778dd74,Fisioterapia Vanessa,314.00,Vida esportiva,10,,t,f,2025-06-01 14:03:59.18259+00,2025-06-01 14:03:59.18259+00
6b19691d-65e2-4f82-9e00-c00d0ba07c81,a3b12ed2-9440-40d9-9293-3c20e778dd74,Contabilidade,200.00,Escritório,5,,t,f,2025-06-01 14:01:07.446749+00,2025-06-01 14:01:07.446749+00
df427d1a-4565-4caf-9c6c-6b65c01c27e8,a3b12ed2-9440-40d9-9293-3c20e778dd74,Cartão de crédito Conta Simples,462.13,Escritório,9,CONTA SIMPLES,t,t,2025-06-01 21:47:13.610566+00,2025-06-01 21:47:13.610566+00
086b5054-806f-4a8c-9ccb-5ecc7a464ab0,a3b12ed2-9440-40d9-9293-3c20e778dd74,Internet Vivo - Apartamento,150.00,Apartamento,10,,t,f,2025-06-01 14:03:43.673843+00,2025-06-01 14:03:43.673843+00
c079b1b8-8fde-46c5-9898-cd49e22f57da,a3b12ed2-9440-40d9-9293-3c20e778dd74,Mercado Marcela,1500.00,Contas mensais,15,,t,f,2025-06-01 13:51:12.69532+00,2025-06-01 13:51:12.69532+00
8f0b5c90-210c-4f07-995e-7a0114241499,a3b12ed2-9440-40d9-9293-3c20e778dd74,Cartão de crédito C6 Bank,1908.78,Contas mensais,16,,t,f,2025-06-01 14:08:24.758166+00,2025-06-01 14:08:24.758166+00
21955436-b252-4a3f-93e2-718ef06b81cd,a3b12ed2-9440-40d9-9293-3c20e778dd74,Investimento bolsa,500.00,Escritório,5,C6 BANK,t,f,2025-09-04 13:27:16.272673+00,2025-09-04 13:27:16.272673+00
2d378e93-d1f3-4752-90d9-cbba0f59a3ba,a3b12ed2-9440-40d9-9293-3c20e778dd74,Impostos,224.57,Escritório,20,,t,f,2025-06-01 14:05:54.734097+00,2025-06-01 14:05:54.734097+00
